"","Subject","ExperimentName","absmoney1","rewlos","Srewlos","card.RESP","ydata","cardname","stim","time"
"29",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"30",2049,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-17
"31",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"32",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"33",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"34",2049,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-17
"35",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"36",2049,"playorpass - Version 1",-200,-2,-1,1,1,"A",1,2015-09-17
"37",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"38",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"39",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"40",2049,"playorpass - Version 1",-1150,-11.5,-1,1,1,"B",2,2015-09-17
"42",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"43",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"44",2049,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-17
"45",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"46",2049,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-17
"47",2049,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-17
"48",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"49",2049,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-17
"50",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"51",2049,"playorpass - Version 1",-100,-1,-1,1,1,"A",1,2015-09-17
"52",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"53",2049,"playorpass - Version 1",-200,-2,-1,1,1,"D",4,2015-09-17
"54",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"55",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"56",2049,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-17
"57",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"58",2049,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-17
"59",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"60",2049,"playorpass - Version 1",-1150,-11.5,-1,1,1,"B",2,2015-09-17
"61",2049,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-17
"62",2049,"playorpass - Version 1",-150,-1.5,-1,1,1,"A",1,2015-09-17
"63",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"64",2049,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-17
"65",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"66",2049,"playorpass - Version 1",-250,-2.5,-1,1,1,"A",1,2015-09-17
"67",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"68",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"69",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"70",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"71",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"72",2049,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-17
"73",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"74",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"75",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"76",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"77",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"78",2049,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-17
"79",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"80",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"81",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"83",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"84",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"85",2049,"playorpass - Version 1",-1150,-11.5,-1,1,1,"B",2,2015-09-17
"86",2049,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-17
"87",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"88",2049,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-17
"89",2049,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-17
"90",2049,"playorpass - Version 1",-250,-2.5,-1,1,1,"A",1,2015-09-17
"91",2049,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-17
"92",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"93",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"94",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"95",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"96",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"97",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"98",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"99",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"100",2049,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-17
"101",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"102",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"103",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"104",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"105",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"106",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"107",2049,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-17
"108",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"109",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"110",2049,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-17
"111",2049,"playorpass - Version 1",-200,-2,-1,1,1,"D",4,2015-09-17
"112",2049,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-17
"113",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"114",2049,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-17
"115",2049,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-17
"116",2049,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-17
"117",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"118",2049,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-17
"119",2049,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-17
"120",2049,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-17
"121",2049,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-17
"122",2049,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-17
"124",2050,"playorpass - Version 1",NA,0,0,NA,2,"D",4,2015-09-21
"125",2050,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"126",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"127",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"128",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"129",2050,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"130",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"131",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"132",2050,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"133",2050,"playorpass - Version 1",-50,-0.5,-1,1,1,"A",1,2015-09-21
"134",2050,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"135",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"136",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"137",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"138",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"139",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"140",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"141",2050,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"142",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"143",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"144",2050,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"145",2050,"playorpass - Version 1",-200,-2,-1,1,1,"A",1,2015-09-21
"146",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"147",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"148",2050,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"149",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"150",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"151",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"152",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"153",2050,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"154",2050,"playorpass - Version 1",-100,-1,-1,1,1,"A",1,2015-09-21
"155",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"156",2050,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"157",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"158",2050,"playorpass - Version 1",-1150,-11.5,-1,1,1,"B",2,2015-09-21
"159",2050,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"160",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"161",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"162",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"163",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"165",2050,"playorpass - Version 1",-200,-2,-1,1,1,"D",4,2015-09-21
"166",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"167",2050,"playorpass - Version 1",-150,-1.5,-1,1,1,"A",1,2015-09-21
"168",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"169",2050,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"170",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"171",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"172",2050,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"173",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"174",2050,"playorpass - Version 1",-250,-2.5,-1,1,1,"A",1,2015-09-21
"175",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"176",2050,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"177",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"178",2050,"playorpass - Version 1",-1150,-11.5,-1,1,1,"B",2,2015-09-21
"179",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"180",2050,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-21
"181",2050,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-21
"182",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"183",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"184",2050,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"185",2050,"playorpass - Version 1",-250,-2.5,-1,1,1,"A",1,2015-09-21
"186",2050,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"187",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"188",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"189",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"190",2050,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"191",2050,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-21
"192",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"193",2050,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"194",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"195",2050,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"196",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"197",2050,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"198",2050,"playorpass - Version 1",-150,-1.5,-1,1,1,"A",1,2015-09-21
"199",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"200",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"201",2050,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"202",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"203",2050,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-21
"204",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"206",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"207",2050,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"208",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"209",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"210",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"211",2050,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"212",2050,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-21
"213",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"214",2050,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-21
"215",2050,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-21
"216",2050,"playorpass - Version 1",-100,-1,-1,1,1,"A",1,2015-09-21
"217",2050,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-21
"218",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"219",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"220",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"221",2050,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"222",2050,"playorpass - Version 1",-1150,-11.5,-1,1,1,"B",2,2015-09-21
"223",2050,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"224",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"225",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"226",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"227",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"228",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"229",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"230",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"231",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"232",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"233",2050,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"234",2050,"playorpass - Version 1",-200,-2,-1,1,1,"D",4,2015-09-21
"235",2050,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"236",2050,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"237",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"238",2050,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"239",2050,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-21
"240",2050,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"241",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"242",2050,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"243",2050,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-21
"244",2050,"playorpass - Version 1",-200,-2,-1,1,1,"A",1,2015-09-21
"245",2050,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-21
"247",2051,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"248",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"249",2051,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"250",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"251",2051,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-21
"252",2051,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"253",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"254",2051,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"255",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"256",2051,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"257",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"258",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"259",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"260",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"261",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"262",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"263",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"264",2051,"playorpass - Version 1",-50,-0.5,-1,1,1,"A",1,2015-09-21
"265",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"266",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"267",2051,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"268",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"269",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"270",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"271",2051,"playorpass - Version 1",-200,-2,-1,1,1,"A",1,2015-09-21
"272",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"273",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"274",2051,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-21
"275",2051,"playorpass - Version 1",NA,0,0,3,2,"B",2,2015-09-21
"276",2051,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"277",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"278",2051,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"279",2051,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"280",2051,"playorpass - Version 1",-100,-1,-1,1,1,"A",1,2015-09-21
"281",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"282",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"283",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"284",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"285",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"286",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"288",2051,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"289",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"290",2051,"playorpass - Version 1",-150,-1.5,-1,1,1,"A",1,2015-09-21
"291",2051,"playorpass - Version 1",-1150,-11.5,-1,1,1,"B",2,2015-09-21
"292",2051,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"293",2051,"playorpass - Version 1",-200,-2,-1,1,1,"D",4,2015-09-21
"294",2051,"playorpass - Version 1",-250,-2.5,-1,1,1,"A",1,2015-09-21
"295",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"296",2051,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"297",2051,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"298",2051,"playorpass - Version 1",NA,0,0,3,2,"A",1,2015-09-21
"299",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"300",2051,"playorpass - Version 1",NA,0,0,NA,2,"B",2,2015-09-21
"301",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"302",2051,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"303",2051,"playorpass - Version 1",0,0,0,1,1,"C",3,2015-09-21
"304",2051,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"305",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"306",2051,"playorpass - Version 1",NA,0,0,NA,2,"B",2,2015-09-21
"307",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"308",2051,"playorpass - Version 1",-250,-2.5,-1,1,1,"A",1,2015-09-21
"309",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"310",2051,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"311",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"312",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"313",2051,"playorpass - Version 1",-150,-1.5,-1,1,1,"A",1,2015-09-21
"314",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"315",2051,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"316",2051,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-21
"317",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"318",2051,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"319",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"320",2051,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-21
"321",2051,"playorpass - Version 1",-100,-1,-1,1,1,"A",1,2015-09-21
"322",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"323",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"324",2051,"playorpass - Version 1",NA,0,0,3,2,"D",4,2015-09-21
"325",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"326",2051,"playorpass - Version 1",-1150,-11.5,-1,1,1,"B",2,2015-09-21
"327",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"329",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"330",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"331",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"332",2051,"playorpass - Version 1",-200,-2,-1,1,1,"A",1,2015-09-21
"333",2051,"playorpass - Version 1",NA,0,0,NA,2,"D",4,2015-09-21
"334",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"335",2051,"playorpass - Version 1",NA,0,0,3,2,"C",3,2015-09-21
"336",2051,"playorpass - Version 1",-50,-0.5,-1,1,1,"A",1,2015-09-21
"337",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"338",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"339",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"340",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"341",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"342",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
"343",2051,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-21
"344",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"345",2051,"playorpass - Version 1",100,1,1,1,1,"B",2,2015-09-21
"346",2051,"playorpass - Version 1",-25,-0.25,-1,1,1,"C",3,2015-09-21
"347",2051,"playorpass - Version 1",50,0.5,1,1,1,"C",3,2015-09-21
"348",2051,"playorpass - Version 1",-1150,-11.5,-1,1,1,"B",2,2015-09-21
"349",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"350",2051,"playorpass - Version 1",50,0.5,1,1,1,"D",4,2015-09-21
"351",2051,"playorpass - Version 1",100,1,1,1,1,"A",1,2015-09-21
