"","cor_type","x","y","session","r","lower","upper","sig","estimate","estimate_lab","lower_lab","upper_lab","estimate_CI","SR_sort"
"71","SR-ORL","basrewres","Apun",2,0.044957099229701,-0.22,0.32,"",0.04," .04","-.22",".32"," .04 [-.22,.32]",4
"72","SR-ORL","basrewres","Arew",2,-0.0530944472433748,-0.3,0.22,"",-0.05,"-.05","-.30",".22","-.05 [-.30,.22]",4
"73","SR-ORL","basfunsk","betaB",2,0.125040732096719,-0.24,0.45,"",0.13," .13","-.24",".45"," .13 [-.24,.45]",3
"74","SR-ORL","basfunsk","betaF",2,-0.0767690994722178,-0.37,0.3,"",-0.08,"-.08","-.37",".30","-.08 [-.37,.30]",3
"75","SR-ORL","basfunsk","Apun",2,0.212323101256336,-0.02,0.43,"",0.21," .21","-.02",".43"," .21 [-.02,.43]",3
"76","SR-ORL","basfunsk","Arew",2,0.0149965801522863,-0.41,0.39,"",0.01," .01","-.41",".39"," .01 [-.41,.39]",3
"77","SR-ORL","basdrive","betaB",2,-0.137743497001491,-0.49,0.38,"",-0.14,"-.14","-.49",".38","-.14 [-.49,.38]",2
"78","SR-ORL","basdrive","betaF",2,-0.293291629522946,-0.53,-0.03,"*",-0.29,"-.29","-.53","-.03","-.29 [-.53,-.03]",2
"79","SR-ORL","basdrive","Apun",2,-0.09890742760524,-0.48,0.24,"",-0.1,"-.10","-.48",".24","-.10 [-.48,.24]",2
"80","SR-ORL","basdrive","Arew",2,0.126613465905197,-0.28,0.52,"",0.13," .13","-.28",".52"," .13 [-.28,.52]",2
"81","SR-ORL","bastot","betaB",2,-0.0769135810620385,-0.39,0.32,"",-0.08,"-.08","-.39",".32","-.08 [-.39,.32]",1
"82","SR-ORL","bastot","betaF",2,-0.209207841086201,-0.46,0.05,"",-0.21,"-.21","-.46",".05","-.21 [-.46,.05]",1
"83","SR-ORL","bastot","Apun",2,0.0588350953828434,-0.24,0.32,"",0.06," .06","-.24",".32"," .06 [-.24,.32]",1
"84","SR-ORL","bastot","Arew",2,0.0578392241215706,-0.3,0.39,"",0.06," .06","-.30",".39"," .06 [-.30,.39]",1
"85","SR-ORL","shaps_tot","betaB",1,-0.0116967146870711,-0.24,0.25,"",-0.01,"-.01","-.24",".25","-.01 [-.24,.25]",12
"86","SR-ORL","shaps_tot","betaF",1,0.000691002209276696,-0.3,0.33,"",0,"-.00","-.30",".33","-.00 [-.30,.33]",12
"87","SR-ORL","shaps_tot","Apun",1,0.0895978001369334,-0.11,0.27,"",0.09," .09","-.11",".27"," .09 [-.11,.27]",12
