"","ID","Fit_sep_IGT_fitted_Arew","Fit_sep_IGT_fitted_Apun","Fit_sep_IGT_fitted_K","Fit_sep_IGT_fitted_betaF","Fit_sep_IGT_fitted_betaP","Fit_sep_SIGT_v1_fitted_Arew","Fit_sep_SIGT_v1_fitted_Apun","Fit_sep_SIGT_v1_fitted_K","Fit_sep_SIGT_v1_fitted_betaF","Fit_sep_SIGT_v1_fitted_betaP","Fit_sep_SIGT_v2_fitted_Arew","Fit_sep_SIGT_v2_fitted_Apun","Fit_sep_SIGT_v2_fitted_K","Fit_sep_SIGT_v2_fitted_betaF","Fit_sep_SIGT_v2_fitted_betaP","Fit_sep_SIGT_v3_fitted_Arew","Fit_sep_SIGT_v3_fitted_Apun","Fit_sep_SIGT_v3_fitted_K","Fit_sep_SIGT_v3_fitted_betaF","Fit_sep_SIGT_v3_fitted_betaP"
"34",7035,0.151501275878139,0.118060742960304,0.0233591241776012,1.57278284813566,1.7283577190175,0.00211522888983158,0.388623465015087,0.0437098328246209,1.46486199365686,1.08125553685031,0.00192613444575212,0.353132504631568,0.0444881403937415,1.56313737811395,1.13018521903622,0.00236484622042337,0.443656296949243,0.0398930542522848,1.12924922708995,1.1841813051008
"35",7036,0.215165348388226,0.0572186989486753,0.0259735294138359,1.55264672038461,3.66528913254288,0.00092922106166464,0.372509094008682,0.0427458779625531,1.20916020784743,2.40546292095979,0.000927332672590828,0.333513201124156,0.0437149456296542,1.29896182199174,2.39738983104317,0.00106089271748248,0.422159012370174,0.0391543671645152,1.00641525940186,2.41248176771516
"36",7037,0.0971945015489758,0.177958556263015,0.0565292221306973,1.24359024761726,-0.047163116160715,0.000619188961940761,0.390391865716539,0.0444497877788428,0.674048317035602,0.398455267879729,0.000683454092572279,0.354036805918921,0.0452532206458942,0.709241959604104,0.422856853152863,0.000744160399280314,0.453267001950443,0.041612293582907,0.580697120976187,0.380221754415129
"37",7038,0.287387511503431,0.100938420438849,0.058469149419688,1.75810711546955,0.169830289946001,0.00104699769664533,0.364286425656432,0.0425237616272548,0.933375298421144,1.24657102817518,0.0010275009285004,0.323895112171465,0.0436260054396838,1.0075621388004,1.2696460997783,0.00128396214143269,0.406051522531118,0.038039059686514,0.723883075919675,1.30079260127523
"38",7039,0.329945366989627,0.0249333036515152,0.0559309303717878,1.3083276061042,-0.0130596408277909,0.00115356662576785,0.36583285080912,0.0448374382142962,1.2120117573808,0.419405573117375,0.00108558249752393,0.327998324685503,0.0455886216828984,1.30446067728684,0.435979793587183,0.00144561828817688,0.419810502378839,0.0421622821821572,1.01797873928221,0.415383152363309
"39",7040,0.135839625071638,0.0602060235275033,0.0838617844004238,1.17508480408358,1.64791501874652,0.00204390245179721,0.372470747388385,0.0417809881261319,0.744525638230792,1.17566267704511,0.00234413826188637,0.328217767984741,0.043174543939507,0.814083025158465,1.18078770861424,0.00276551643113884,0.42426839355517,0.0359049628887735,0.36817577489073,1.35694382362802
"40",7041,0.148509955226716,0.122333996834915,0.0202151232719683,1.94588408608456,1.97521497268095,0.0623070361855894,0.382308073101397,0.046865784064477,1.13122438592439,0.720365868839339,0.068683793422677,0.339166498918089,0.0477063607242729,1.27349057691911,1.1910874098117,0.0582083829261682,0.436838090600112,0.0457276223369993,0.886521896109159,0.737611340485138
"41",7042,0.0739986692193373,0.172251445197215,0.0743329790108112,1.65341074094746,2.31019101932448,0.000868421661972984,0.459791322159539,0.039846529968659,1.1862741564251,2.32375693179719,0.000933819187229916,0.444244434978284,0.0412848779625309,1.22695746160638,2.32734008937261,0.00108764980287119,0.564378472913833,0.0354398038239074,1.02983309769241,2.35969220010609
"42",7043,0.213515649571897,0.0575413708651338,0.0260111359854796,1.55432181291617,3.66416674222581,0.0312076210364166,0.384278795329271,0.0465439680689545,1.06982492452667,1.49624906253238,0.0387035995624157,0.342343160369235,0.0470885317281637,1.18639534212587,1.71102139147904,0.029710684730885,0.441348522943355,0.0448609703839227,0.815237392823148,1.5631521900837
"43",7044,0.264893613556227,0.0303512314136762,0.0554615712710434,1.51853031301818,0.198085702454753,0.00354994151860041,0.384466545551248,0.0450359115502311,1.05226839967356,0.372435838080065,0.00405208543107902,0.343751061056393,0.0457018744535241,1.12983352105989,0.417640270899265,0.00397795553604472,0.438932359849506,0.0426086659350686,0.748201495747684,0.437021459730763
"44",7045,0.161672493675566,0.128467984851569,0.0791162533021294,1.59254359770075,0.859606010292118,0.00101105276886964,0.408930623033272,0.0439675399109096,1.19671534206108,1.46092219856664,0.000939329769767671,0.37873041632564,0.044752501941515,1.2614564728835,1.48294704719864,0.00123810283409374,0.461598180524184,0.0404921467701163,0.946933590217211,1.49398653449057
"45",7046,0.0796077667483091,0.172955896162535,0.0267114985794356,1.28276476471586,2.74252840884661,0.00114986121647851,0.364466823716193,0.046984415058354,0.760256068256486,3.00839294670807,0.00139012868799426,0.318645294625099,0.0473233273099091,0.845651205964997,2.97488584661378,0.00136833432555466,0.412418772131894,0.044013413232473,0.330079316797106,3.16758062458281
"46",7048,0.194449268165847,0.0766798865455967,0.0547161780735949,1.16576431154884,0.0705176312756468,0.0010493897953303,0.44431229025316,0.0428626704053139,1.41088582823339,0.720945647603037,0.00127990333131447,0.429128235141551,0.043996156030365,1.45758718495291,0.708974566731777,0.00134773448604884,0.520450058874848,0.038395354297523,1.05020134604383,0.852395991530483
"47",7049,0.0777627988444658,0.124129901821666,0.0244446725941759,1.6889929105928,1.77940843085631,0.00962609513400537,0.39836501301396,0.0450341158432431,0.85358419101137,0.378467867373908,0.0125667947549489,0.363267548151377,0.0458161553719186,0.904410770156709,0.423544844684567,0.00988785583422618,0.454771905376361,0.0424937802450647,0.706059718277479,0.360195866686416
"48",7050,0.15581171151433,0.134276705247728,0.0678952085562882,1.34099339823864,1.28913024105755,0.00253314250188554,0.455548480779838,0.0442601026000483,1.63402181857257,1.47395337093365,0.00314423981865481,0.440525512972098,0.0450991752987858,1.70870650541621,1.47190266525571,0.00281201214635531,0.536317830227464,0.0403785769273309,1.36924355208793,1.46072620214214
"49",7051,0.260632654982741,0.15589834427554,0.043417754076991,1.08610679411115,0.709064679071094,0.000639565453459261,0.406375570933465,0.0495000375426997,1.128889326045,1.6846312030325,0.000688872810863958,0.376573618841763,0.0493375320663317,1.18212807432541,1.68677198618229,0.000832587137037568,0.44694763478622,0.050726925917869,0.645493675208645,1.928729075519
"50",7052,0.196535910417638,0.0349234185580281,0.0758439706384375,1.70100501666332,1.21304012374886,0.00155636430104032,0.408349436839984,0.0423994465501446,1.46650818816378,2.26549141623194,0.00185827488683303,0.378363440286862,0.0435859600595286,1.54479013706934,2.25020306680894,0.00167592873148519,0.483966670708628,0.0385118433476254,1.12330245892711,2.39385908636571
"51",7053,0.12572399880501,0.0505377015986531,0.0539178858149899,0.999186718630924,0.817515875307437,0.0032129465799772,0.377609095951156,0.0453272594680485,0.889691200674468,0.285553588044876,0.00369832782941278,0.337469149850289,0.0462564900123397,0.9629470532453,0.334402262870349,0.00348410832645088,0.438339519262708,0.0428460953900221,0.810156574711903,0.163035924133517
