ID,Fit_sep_IGT_Arew,Fit_sep_IGT_Apun,Fit_sep_IGT_K,Fit_sep_IGT_betaF,Fit_sep_IGT_betaP,Fit_sep_SIGT_v1_Arew,Fit_sep_SIGT_v1_Apun,Fit_sep_SIGT_v1_K,Fit_sep_SIGT_v1_betaF,Fit_sep_SIGT_v1_betaP,Fit_sep_SIGT_v2_Arew,Fit_sep_SIGT_v2_Apun,Fit_sep_SIGT_v2_K,Fit_sep_SIGT_v2_betaF,Fit_sep_SIGT_v2_betaP,Fit_sep_SIGT_v3_Arew,Fit_sep_SIGT_v3_Apun,Fit_sep_SIGT_v3_K,Fit_sep_SIGT_v3_betaF,Fit_sep_SIGT_v3_betaP
7012,0.174575465,0.062417764,0.04096775,1.664668127,1.88735478,0.000817199,0.397648496,0.052675624,0.839136988,2.09989872,0.001044248,0.362449191,0.051964568,0.879576764,2.093431221,0.001102456,0.441225407,0.054633076,0.41421621,2.219956628
7013,0.20147568,0.043202951,0.056339305,1.524627072,0.608018087,0.000951991,0.373163454,0.042793637,0.861051899,1.27850683,0.000969442,0.335236715,0.043840284,0.924845109,1.288296583,0.001143266,0.417791838,0.038959027,0.711520841,1.286300946
7014,0.169478853,0.215865793,0.073946271,1.36078502,3.459778649,0.001367789,0.392403628,0.04862016,0.8054414,3.722681619,0.00172544,0.353192827,0.048729627,0.870918337,3.692234439,0.00162184,0.441892394,0.048469682,0.403252548,3.882811865
7015,0.276719003,0.033994229,0.050881873,1.60706172,1.818322695,0.033287496,0.388351424,0.043317841,1.107947154,2.775683807,0.038556403,0.349620073,0.044056661,1.209190586,2.933752428,0.026653958,0.443037008,0.039579843,0.83108662,2.982252651
7016,0.308184547,0.038321938,0.02109574,1.564381291,2.212799007,0.013342107,0.384233054,0.047565874,1.216220482,1.656604298,0.013878739,0.343851754,0.047826023,1.33195565,1.920837637,0.013591448,0.440632193,0.046778417,0.999291795,1.606124818
7017,0.220861339,0.075086662,0.088667542,1.274258063,2.404093384,0.012151057,0.392304603,0.044598685,1.110106242,2.466471875,0.01260413,0.352931653,0.045177395,1.202678437,2.66880301,0.012085955,0.447982966,0.042185844,0.864446878,2.495399675
7018,0.169007508,0.045973954,0.059662977,1.249343196,0.146864255,0.002308866,0.386574991,0.043691388,1.403872046,1.171653514,0.00234997,0.352469086,0.044772118,1.503940248,1.179507749,0.002617406,0.451537618,0.040506797,1.128087844,1.208302783
7019,0.093042777,0.156136127,0.080343641,1.445934641,2.452078226,0.002005439,0.379333351,0.051611362,0.587863733,3.545430602,0.002645369,0.333120597,0.051117207,0.650306845,3.519902389,0.002511327,0.433455313,0.052145599,0.268945844,3.651206433
7020,0.20373082,0.054731941,0.058819236,1.342370985,1.507446847,0.008848163,0.381461442,0.046453892,1.013730268,2.06352933,0.010718867,0.338258171,0.047092546,1.109177096,2.157677805,0.008847831,0.426665945,0.045573737,0.747424167,2.11758677
7021,0.137123795,0.131542983,0.08434086,1.50269746,0.846025532,0.000936166,0.412305001,0.046470727,1.203431847,0.834953001,0.001160138,0.388320526,0.046665473,1.245612156,0.836668264,0.001402201,0.458892921,0.045081107,0.701893119,1.031110424
7022,0.244641069,0.036609293,0.081208974,1.215837118,1.08431855,0.000667608,0.398223147,0.045975888,1.199657811,1.706051953,0.000744097,0.3692722,0.046544946,1.262183826,1.695673855,0.000914618,0.436026744,0.044261757,0.628784788,2.030208731
7023,0.121263644,0.066240586,0.067728522,1.682935891,1.771342348,0.000877049,0.353052617,0.041989327,1.188152108,2.200854957,0.000878433,0.311451297,0.04331264,1.312949058,2.16386737,0.001048839,0.39452227,0.037107027,0.860666305,2.328014712
7024,0.137175209,0.131588885,0.071077289,1.501338164,2.34256017,0.00119718,0.479947007,0.051667964,1.490073393,1.934646828,0.001559089,0.475354079,0.050768179,1.547866176,1.914051235,0.00145689,0.537824238,0.054807643,0.873581317,2.272214741
