"","scale","correlation","r","lower","upper"
"135","masqGDD","Arew vs Apun",-0.148018490122598,-0.537353595289535,0.243936891109776
"136","masqAA","betaP vs theta",-0.0931021381176115,-0.37300747960377,0.193655027287198
"137","masqAA","betaF vs theta",-0.00193017351213588,-0.314546916118507,0.311659737540592
"138","masqAA","betaF vs betaP",0.326246747780769,-0.0350679137911769,0.693694894707103
"139","masqAA","K vs theta",0.0650533571577857,-0.52188201482598,0.617957539111843
"140","masqAA","K vs betaP",-0.136874276463775,-0.782668027042337,0.565606835204321
"141","masqAA","K vs betaF",-0.0198134461153454,-0.656360138232256,0.651592150638211
"142","masqAA","Apun vs theta",0.19925384349983,-0.114030971257513,0.509545846801154
"143","masqAA","Apun vs betaP",0.302026394488953,-0.0276079839667726,0.615858299570929
"144","masqAA","Apun vs betaF",0.456200256010377,0.11080443170846,0.781306412301256
"145","masqAA","Apun vs K",-0.0230307414868686,-0.614715450370104,0.58407265805933
"146","masqAA","Arew vs theta",0.0813414704607741,-0.252859022427172,0.421312164061571
"147","masqAA","Arew vs betaP",-0.115740134523124,-0.483281310178305,0.273459126121318
"148","masqAA","Arew vs betaF",-0.280453523007345,-0.669136063933713,0.132118815688587
"149","masqAA","Arew vs K",0.292222090430487,-0.33771161008532,0.840157166985562
"150","masqAA","Arew vs Apun",-0.143265208193995,-0.526634054352703,0.249872145084594
"151","masqGDA","betaP vs theta",-0.0946737151888354,-0.376850989507651,0.200197349007783
"152","masqGDA","betaF vs theta",0.032714898528321,-0.2846857440691,0.354725575288364
"153","masqGDA","betaF vs betaP",0.325956555258167,-0.0394282920947891,0.679962621086184
"154","masqGDA","K vs theta",0.0297838225797803,-0.550170721030537,0.598190882223248
"155","masqGDA","K vs betaP",-0.0962620552484026,-0.778226193384978,0.608131255738054
"156","masqGDA","K vs betaF",-0.0167493526497916,-0.681061924548101,0.618849858431355
"157","masqGDA","Apun vs theta",0.194693059704535,-0.116466943172733,0.499501381000636
"158","masqGDA","Apun vs betaP",0.301378391765649,-0.0286097016122426,0.620118253482012
"159","masqGDA","Apun vs betaF",0.45466535088632,0.11338158809104,0.786361965130916
"160","masqGDA","Apun vs K",-0.0101838510686173,-0.600086074948312,0.603391192725382
"161","masqGDA","Arew vs theta",0.0251430341504657,-0.29711561367896,0.358844417029727
"162","masqGDA","Arew vs betaP",-0.109415032769911,-0.481542602880127,0.279687230643031
"163","masqGDA","Arew vs betaF",-0.259815379677813,-0.650997054328364,0.166127333457414
"164","masqGDA","Arew vs K",0.298095453217646,-0.316785469144311,0.861130132863756
"165","masqGDA","Arew vs Apun",-0.140941298160745,-0.543341819033405,0.236798710033991
"166","prdep_tot","betaP vs theta",-0.241774739620333,-0.522089209008121,0.0374410805650582
"167","prdep_tot","betaF vs theta",0.161109253416725,-0.159212987356375,0.479519403721007
"168","prdep_tot","betaF vs betaP",0.338147998097613,-0.0194981382176579,0.696806717502403
"169","prdep_tot","K vs theta",-0.0975586593185366,-0.638304391923227,0.450978163108523
"170","prdep_tot","K vs betaP",-0.0562092847647798,-0.760427873645144,0.629098019336208
"171","prdep_tot","K vs betaF",0.00852988707539734,-0.643318462977962,0.652758539186967
"172","prdep_tot","Apun vs theta",0.0823404908380903,-0.227672055209494,0.390197395321
"173","prdep_tot","Apun vs betaP",0.316701225113085,-0.00995690199257965,0.634072137998662
"174","prdep_tot","Apun vs betaF",0.44507355318814,0.0975948877254152,0.775610355632091
"175","prdep_tot","Apun vs K",0.0063453089932994,-0.606558041441178,0.594976444614717
"176","prdep_tot","Arew vs theta",-0.0141803052185009,-0.367060637673449,0.339521635811315
"177","prdep_tot","Arew vs betaP",-0.0966091149348223,-0.470117812737232,0.286331774246269
"178","prdep_tot","Arew vs betaF",-0.246375199218,-0.648099102848349,0.182010000361478
"179","prdep_tot","Arew vs K",0.315541115979323,-0.28272933849233,0.876788140748352
"180","prdep_tot","Arew vs Apun",-0.142794236660311,-0.547218887080722,0.237301712906056
