"","parameter","ID","blup_session1","blup_session2","blup_overall","subject"
"84","Arew",35,0.187681181722663,0.216562888676177,0.20212203519942,2085
"85","Arew",36,0.23841927142797,0.164001089818599,0.201210180623285,2086
"86","Arew",37,0.151175320592343,0.0390699553953325,0.0951226379938378,2087
"87","Arew",38,0.19009492436596,0.120657110105084,0.155376017235522,2088
"88","Arew",39,0.151055647980258,0.110050994971668,0.130553321475963,2089
"89","Arew",40,0.189309735789466,0.134727903802724,0.162018819796095,2090
"90","Arew",41,0.225337236463912,0.135602787829666,0.180470012146789,2091
"91","Arew",42,0.175466198564433,0.0775247061382566,0.126495452351345,2092
"92","Arew",43,0.210637769717061,0.146932355158782,0.178785062437922,2093
"93","Arew",44,0.236498085930308,0.16295388741896,0.199725986674634,2094
"94","Arew",45,0.195664370254636,0.297619577080495,0.246641973667565,2095
"95","Arew",46,0.16991437370484,0.122239679142562,0.146077026423701,2096
"96","Arew",47,0.206905017828085,0.0874018739296496,0.147153445878867,2097
"97","Arew",48,0.225828149891624,0.156497903242398,0.191163026567011,2098
"98","Arew",49,0.189216771261755,0.0555109121223819,0.122363841692069,2099
"99","K",1,0.0849857482260641,0.0500695155106216,0.0675276318683429,2049
"100","K",2,0.0847617748042625,0.0666957771937954,0.075728775999029,2050
"101","K",3,0.0840312867529048,0.0602745782344529,0.0721529324936789,2051
"102","K",4,0.0874818855383145,0.0529535706484699,0.0702177280933922,2052
"103","K",5,0.0691256531754156,0.0633377513577608,0.0662317022665882,2053
"104","K",6,0.0931554547786498,0.0634234326292741,0.078289443703962,2054
"105","K",7,0.0939950268780788,0.0670053514039638,0.0805001891410213,2055
"106","K",8,0.0913198433161855,0.0672624765589153,0.0792911599375504,2056
"107","K",9,0.0965676109845228,0.0603177954180339,0.0784427032012784,2057
"108","K",10,0.105057014505562,0.0583446989813719,0.0817008567434671,2058
"109","K",11,0.0953972038894971,0.0619026618875257,0.0786499328885114,2060
"110","K",12,0.065632509126394,0.0630198167215496,0.0643261629239718,2061
"111","K",13,0.08898410094883,0.0569896035007613,0.0729868522247956,2062
"112","K",14,0.102744545990512,0.0607410835529844,0.081742814771748,2063
"113","K",15,0.0743092523080252,0.0601223912070995,0.0672158217575624,2064
"114","K",16,0.0845378438400775,0.0570758842459397,0.0708068640430086,2065
"115","K",17,0.0910449131947644,0.0584411376666634,0.0747430254307139,2066
"116","K",18,0.0917917541073645,0.06068992344901,0.0762408387781872,2067
"117","K",19,0.085188917362364,0.0478105503044548,0.0664997338334094,2068
"118","K",20,0.0947511070512099,0.0481274928551218,0.0714392999531658,2069
"119","K",21,0.0819464069159185,0.0414492840979569,0.0616978455069377,2070
"120","K",22,0.0869034453745658,0.0564781156394237,0.0716907805069948,2071
"121","K",23,0.0856902458309093,0.0590277336056749,0.0723589897182921,2072
"122","K",24,0.0879348748874604,0.0745553624514955,0.081245118669478,2073
"123","K",25,0.0917821096351577,0.0609151229143163,0.076348616274737,2074
"124","K",26,0.090916748419531,0.0560684121668051,0.073492580293168,2075
"125","K",27,0.0897708480611578,0.0780972987677511,0.0839340734144544,2076
"126","K",28,0.0874037447145885,0.0612186705591364,0.0743112076368625,2077
