"","cor_type","x","y","session","r","lower","upper","sig","estimate","estimate_lab","lower_lab","upper_lab","estimate_CI","SR_sort"
"157","SR-ORL","basrewres","Apun",2,0.0149047528463012,-0.17,0.22,"",0.01," .01","-.17",".22"," .01 [-.17,.22]",4
"158","SR-ORL","basrewres","Arew",2,-0.0784538169518272,-0.27,0.11,"",-0.08,"-.08","-.27",".11","-.08 [-.27,.11]",4
"159","SR-ORL","basfunsk","K",2,-0.182677128304671,-0.5,0.24,"",-0.18,"-.18","-.50",".24","-.18 [-.50,.24]",3
"160","SR-ORL","basfunsk","betaP",2,0.314070539239923,0.06,0.55,"*",0.31," .31",".06",".55"," .31 [.06,.55]",3
"161","SR-ORL","basfunsk","betaF",2,-0.12217067661874,-0.33,0.14,"",-0.12,"-.12","-.33",".14","-.12 [-.33,.14]",3
"162","SR-ORL","basfunsk","Apun",2,0.206407648106114,0.05,0.35,"*",0.21," .21",".05",".35"," .21 [.05,.35]",3
"163","SR-ORL","basfunsk","Arew",2,-0.163706316129754,-0.43,0.1,"",-0.16,"-.16","-.43",".10","-.16 [-.43,.10]",3
"164","SR-ORL","basdrive","K",2,-0.0727092628027845,-0.29,0.23,"",-0.07,"-.07","-.29",".23","-.07 [-.29,.23]",2
"165","SR-ORL","basdrive","betaP",2,0.0612462701988846,-0.28,0.38,"",0.06," .06","-.28",".38"," .06 [-.28,.38]",2
"166","SR-ORL","basdrive","betaF",2,-0.290683369212103,-0.48,-0.06,"*",-0.29,"-.29","-.48","-.06","-.29 [-.48,-.06]",2
"167","SR-ORL","basdrive","Apun",2,-0.0583997380568757,-0.34,0.2,"",-0.06,"-.06","-.34",".20","-.06 [-.34,.20]",2
"168","SR-ORL","basdrive","Arew",2,0.00763781119020347,-0.27,0.26,"",0.01," .01","-.27",".26"," .01 [-.27,.26]",2
"169","SR-ORL","bastot","K",2,-0.16465918618525,-0.5,0.25,"",-0.16,"-.16","-.50",".25","-.16 [-.50,.25]",1
"170","SR-ORL","bastot","betaP",2,0.13851583567893,-0.16,0.42,"",0.14," .14","-.16",".42"," .14 [-.16,.42]",1
"171","SR-ORL","bastot","betaF",2,-0.244214205726346,-0.42,-0.06,"*",-0.24,"-.24","-.42","-.06","-.24 [-.42,-.06]",1
"172","SR-ORL","bastot","Apun",2,0.0650711610992039,-0.14,0.27,"",0.07," .07","-.14",".27"," .07 [-.14,.27]",1
"173","SR-ORL","bastot","Arew",2,-0.0936633877268715,-0.34,0.16,"",-0.09,"-.09","-.34",".16","-.09 [-.34,.16]",1
"174","SR-ORL","shaps_tot","K",1,-0.164190781314957,-0.39,0.06,"",-0.16,"-.16","-.39",".06","-.16 [-.39,.06]",12
"175","SR-ORL","shaps_tot","betaP",1,0.00166514989872475,-0.16,0.22,"",0,"-.00","-.16",".22","-.00 [-.16,.22]",12
"176","SR-ORL","shaps_tot","betaF",1,-0.0113052030529076,-0.24,0.25,"",-0.01,"-.01","-.24",".25","-.01 [-.24,.25]",12
"177","SR-ORL","shaps_tot","Apun",1,0.0915655582366762,-0.04,0.21,"",0.09," .09","-.04",".21"," .09 [-.04,.21]",12
"178","SR-ORL","shaps_tot","Arew",1,0.0285975653023064,-0.33,0.24,"",0.03," .03","-.33",".24"," .03 [-.33,.24]",12
"179","SR-ORL","panas_na","K",1,0.32137275384539,0.02,0.59,"*",0.32," .32",".02",".59"," .32 [.02,.59]",7
"180","SR-ORL","panas_na","betaP",1,-0.0535474197579359,-0.38,0.16,"",-0.05,"-.05","-.38",".16","-.05 [-.38,.16]",7
"181","SR-ORL","panas_na","betaF",1,-0.128588739599213,-0.31,0.04,"",-0.13,"-.13","-.31",".04","-.13 [-.31,.04]",7
"182","SR-ORL","panas_na","Apun",1,0.221623162160597,-0.03,0.5,"",0.22," .22","-.03",".50"," .22 [-.03,.50]",7
"183","SR-ORL","panas_na","Arew",1,-0.221189652676715,-0.33,-0.1,"*",-0.22,"-.22","-.33","-.10","-.22 [-.33,-.10]",7
"184","SR-ORL","panas_pa","K",1,-0.191152185020548,-0.33,-0.05,"*",-0.19,"-.19","-.33","-.05","-.19 [-.33,-.05]",6
"185","SR-ORL","panas_pa","betaP",1,-0.0271859499349436,-0.22,0.16,"",-0.03,"-.03","-.22",".16","-.03 [-.22,.16]",6
"186","SR-ORL","panas_pa","betaF",1,-0.276392755072898,-0.43,-0.11,"*",-0.28,"-.28","-.43","-.11","-.28 [-.43,-.11]",6
"187","SR-ORL","panas_pa","Apun",1,0.0270182498509602,-0.18,0.21,"",0.03," .03","-.18",".21"," .03 [-.18,.21]",6
"188","SR-ORL","panas_pa","Arew",1,0.138726158828999,-0.03,0.3,"",0.14," .14","-.03",".30"," .14 [-.03,.30]",6
"189","SR-ORL","bis","K",1,0.134985742875058,-0.17,0.38,"",0.13," .13","-.17",".38"," .13 [-.17,.38]",5
"190","SR-ORL","bis","betaP",1,0.14643062598935,-0.14,0.36,"",0.15," .15","-.14",".36"," .15 [-.14,.36]",5
"191","SR-ORL","bis","betaF",1,0.133254730719574,-0.06,0.31,"",0.13," .13","-.06",".31"," .13 [-.06,.31]",5
"192","SR-ORL","bis","Apun",1,0.153392162479175,-0.07,0.35,"",0.15," .15","-.07",".35"," .15 [-.07,.35]",5
"193","SR-ORL","bis","Arew",1,-0.296415443129168,-0.46,-0.13,"*",-0.3,"-.30","-.46","-.13","-.30 [-.46,-.13]",5
"194","SR-ORL","basrewres","K",1,-0.0474691626572431,-0.25,0.1,"",-0.05,"-.05","-.25",".10","-.05 [-.25,.10]",4
"195","SR-ORL","basrewres","betaP",1,-0.200188810046051,-0.34,-0.06,"*",-0.2,"-.20","-.34","-.06","-.20 [-.34,-.06]",4
"196","SR-ORL","basrewres","betaF",1,0.0179210910646912,-0.19,0.23,"",0.02," .02","-.19",".23"," .02 [-.19,.23]",4
"197","SR-ORL","basrewres","Apun",1,-0.0885365294096993,-0.3,0.14,"",-0.09,"-.09","-.30",".14","-.09 [-.30,.14]",4
"198","SR-ORL","basrewres","Arew",1,0.349526505306145,0.2,0.47,"*",0.35," .35",".20",".47"," .35 [.20,.47]",4
"199","SR-ORL","basfunsk","K",1,-0.309887579991819,-0.5,-0.08,"*",-0.31,"-.31","-.50","-.08","-.31 [-.50,-.08]",3
"200","SR-ORL","basfunsk","betaP",1,0.216363346668944,-0.04,0.44,"",0.22," .22","-.04",".44"," .22 [-.04,.44]",3
