"","parameter","ID","blup_session1","blup_session2","blup_overall","subject"
"73","Arew",24,0.152698986251344,0.0793501212607926,0.116024553756068,2073
"74","Arew",25,0.13618654378391,0.0823127322159874,0.109249637999949,2074
"75","Arew",26,0.136196189011848,0.0719183681829851,0.104057278597416,2075
"76","Arew",27,0.1427938385109,0.075690238711753,0.109242038611326,2076
"77","Arew",28,0.164464895384948,0.0737047065279039,0.119084800956426,2077
"78","Arew",29,0.143292681196595,0.0749200094452526,0.109106345320924,2078
"79","Arew",30,0.201114796183376,0.0711708719602389,0.136142834071807,2079
"80","Arew",31,0.145613267053187,0.0769394011483209,0.111276334100754,2080
"81","Arew",32,0.113052733472756,0.0795800428064895,0.096316388139623,2081
"82","Arew",33,0.149424783112574,0.0814787079534524,0.115451745533013,2082
"83","Arew",34,0.120446690501339,0.0764962902380679,0.0984714903697036,2084
"84","Arew",35,0.137855715692897,0.0802376099363501,0.109046662814624,2085
"85","Arew",36,0.163855924244324,0.0766982953493392,0.120277109796832,2086
"86","Arew",37,0.108576074857118,0.0750010465384381,0.0917885606977783,2087
"87","Arew",38,0.129251747182179,0.0744907419929513,0.101871244587565,2088
"88","Arew",39,0.112531420429354,0.0754959549118902,0.0940136876706219,2089
"89","Arew",40,0.142128782903766,0.0769456261086374,0.109537204506202,2090
"90","Arew",41,0.177165549113686,0.0762550635690933,0.12671030634139,2091
"91","Arew",42,0.115179133406943,0.0774570757933776,0.0963181046001603,2092
"92","Arew",43,0.134420567233876,0.0770015106244074,0.105711038929142,2093
"93","Arew",44,0.14668929146958,0.0768199157819236,0.111754603625752,2094
"94","Arew",45,0.149085306560543,0.0787751691558245,0.113930237858184,2095
"95","Arew",46,0.105580441712739,0.0772285691658608,0.0914045054393001,2096
"96","Arew",47,0.173309427957575,0.0717358532269196,0.122522640592248,2097
"97","Arew",48,0.121967316455489,0.0771434753524145,0.0995553959039517,2098
"98","Arew",49,0.15233474704734,0.073502480789235,0.112918613918287,2099
"99","K",1,0.165128881925867,0.0424696857198748,0.103799283822871,2049
"100","K",2,0.0668181947186461,0.179169403122611,0.122993798920629,2050
"101","K",3,0.0407693417406283,0.12633444899573,0.0835518953681793,2051
"102","K",4,0.112866113730205,0.108829580078772,0.110847846904488,2052
"103","K",5,0.0345981819393824,0.109119409137095,0.0718587955382388,2053
"104","K",6,0.106220107320978,0.129469354399646,0.117844730860312,2054
"105","K",7,0.221626724314971,0.0350179773238765,0.128322350819424,2055
"106","K",8,0.0627007815605258,0.357898565513355,0.210299673536941,2056
"107","K",9,0.128605961029005,0.0849232881041605,0.106764624566583,2057
"108","K",10,0.166439379635513,0.0282813212753384,0.0973603504554255,2058
"109","K",11,0.141143600196748,0.0227664244569476,0.081955012326848,2060
"110","K",12,0.100073643945192,0.127277559940192,0.113675601942692,2061
"111","K",13,0.0724420390596642,0.06546342724093,0.0689527331502971,2062
"112","K",14,0.182050970975161,0.0676853038757731,0.124868137425467,2063
